Cuadricula;Peso;Fecha;Sigma0;Sigma1;Sigma2;Sigma3;Sigma4;Sigma5;Sigma6;Sigma7;Sigma8;Sigma9;Sigma10;Sigma11;Sigma12;Sigma13;Sigma14;Sigma15;Sigma16;Sigma17;Sigma18;Sigma19;Sigma20;Sigma21;Sigma22;Sigma23
B1;99;26/12/2024  19:15;0,02165555;0,00844145;0,03216648;0,02785005;0,00855301;0,01326125;0,00853680;0,00880684;0,01248130;0,01538893;0,00685267;0,01641885;0,01333466;0,00541659;0,00773692;0,01634947;0,00668603;0,00641539;0,00964806;0,00612813;0,00738196;0,01053821;0,00624917;0,00686503
B1;99;26/12/2024  19:30;0,02202721;0,00863213;0,03306640;0,02833308;0,00876000;0,01352227;0,00878265;0,00900378;0,01255420;0,01575678;0,00700745;0,01681453;0,01297101;0,00529751;0,00681894;0,01591106;0,00650325;0,00587578;0,00951664;0,00596668;0,00686172;0,01028507;0,00609061;0,00619962
B1;99;26/12/2024  20:15;0,02129933;0,00831109;0,03203812;0,02738357;0,00841986;0,01319061;0,00850025;0,00866828;0,01250852;0,01513772;0,00676393;0,01636792;0,01331962;0,00542727;0,00759808;0,01639230;0,00668824;0,00612057;0,00967736;0,00611975;0,00742927;0,01052647;0,00625270;0,00686599
B1;99;26/12/2024  20:30;0,02219694;0,00867650;0,03329271;0,02862944;0,00879612;0,01357219;0,00874623;0,00906285;0,01266255;0,01581136;0,00704851;0,01682546;0,01336195;0,00546557;0,00505068;0,01636184;0,00672744;0,00623645;0,00990381;0,00616828;0,00574248;0,01063634;0,00629764;0,00455933
B1;99;26/12/2024  20:45;0,02195580;0,00859388;0,03121727;0,02821482;0,00871750;0,01300110;0,00875745;0,00896256;0,01272091;0,01568113;0,00696131;0,01606017;0,01356839;0,00548387;0,00751480;0,01668238;0,00676206;0,00676506;0,00961696;0,00620237;0,00728466;0,01065086;0,00631261;0,00666162
B1;99;26/12/2024  21:00;0,02200161;0,00861559;0,03154827;0,02828900;0,00873829;0,01307889;0,00873895;0,00898054;0,01267025;0,01572548;0,00697856;0,01615412;0,01370842;0,00546954;0,00757030;0,01685119;0,00679222;0,00637806;0,00963183;0,00621608;0,00735693;0,01073734;0,00632087;0,00676342
B1;99;26/12/2024  21:15;0,02205598;0,00861716;0,03317007;0,02840760;0,00873397;0,01351061;0,00868748;0,00899965;0,01257800;0,01571285;0,00700432;0,01679201;0,01312561;0,00538561;0,00772521;0,01606933;0,00661099;0,00625152;0,00972246;0,00604958;0,00753314;0,01045304;0,00619140;0,00695465
B1;99;26/12/2024  21:30;0,02165264;0,00849469;0,03107505;0,02775795;0,00862307;0,01295120;0,00865485;0,00887108;0,01259530;0,01545849;0,00688601;0,01603610;0,01348087;0,00536776;0,00573656;0,01658890;0,00667081;0,00583006;0,00945316;0,00610564;0,00628680;0,01054911;0,00620664;0,00533534
B1;99;26/12/2024  21:45;0,02229518;0,00867327;0,03177247;0,02872478;0,00880459;0,01315429;0,00880036;0,00905986;0,01253878;0,01589013;0,00702016;0,01626877;0,01341230;0,00548276;0,00746941;0,01645504;0,00673766;0,00588092;0,00983937;0,00617853;0,00731564;0,01065229;0,00630188;0,00662759
B1;99;26/12/2024  22:00;0,02241978;0,00874070;0,03236866;0,02889154;0,00886771;0,01324937;0,00889515;0,00913055;0,01263289;0,01604641;0,00707084;0,01645216;0,01359046;0,00544952;0,00759582;0,01668501;0,00675492;0,00602745;0,00973133;0,00619131;0,00743456;0,01070118;0,00630642;0,00681120
B1;99;26/12/2024  22:15;0,02253271;0,00875129;0,03195989;0,02905214;0,00888876;0,01326396;0,00892153;0,00914528;0,01278568;0,01605502;0,00708483;0,01636094;0,01368827;0,00555510;0,00731422;0,01681288;0,00684748;0,00660643;0,01005090;0,00625574;0,00723585;0,01085476;0,00639506;0,00646780
B1;99;26/12/2024  22:30;0,02205069;0,00863773;0,03302316;0,02835064;0,00875981;0,01360294;0,00877021;0,00900298;0,01282465;0,01576357;0,00701427;0,01672023;0,01359665;0,00546274;0,00693817;0,01671337;0,00676318;0,00674342;0,00967107;0,00618514;0,00693114;0,01068374;0,00630329;0,00615560
B1;99;26/12/2024  22:45;0,02222371;0,00871859;0,03240100;0,02860007;0,00884895;0,01331049;0,00886219;0,00910014;0,01269095;0,01586574;0,00709099;0,01650844;0,01324962;0,00547871;0,00734846;0,01629162;0,00668510;0,00622487;0,00982022;0,00613414;0,00728602;0,01051868;0,00627374;0,00660151
B1;99;26/12/2024  23:00;0,02241345;0,00878121;0,03252642;0,02879276;0,00892106;0,01337003;0,00894053;0,00916243;0,01274268;0,01605453;0,00711852;0,01652862;0,01369155;0,00546686;0,00745157;0,01683196;0,00678122;0,00601161;0,00966128;0,00620663;0,00731712;0,01074080;0,00631878;0,00668150
B1;99;26/12/2024  23:15;0,02198970;0,00861418;0,03131223;0,02825226;0,00874651;0,01303480;0,00876751;0,00898071;0,01269119;0,01571112;0,00698825;0,01599961;0,01332553;0,00538203;0,00643464;0,01638402;0,00664169;0,00593771;0,00960244;0,00608613;0,00672250;0,01050551;0,00620639;0,00585240
B1;99;26/12/2024  23:30;0,02124434;0,00828428;0,03146000;0,02726678;0,00839007;0,01305614;0,00841639;0,00863890;0,01252941;0,01509621;0,00673374;0,01607837;0,01308841;0,00527389;0,00690827;0,01608256;0,00652442;0,00592624;0,00948027;0,00597860;0,00697635;0,01034499;0,00608882;0,00625806
B1;99;26/12/2024  23:45;0,02201873;0,00861396;0,03201400;0,02833389;0,00873865;0,01321855;0,00869681;0,00898594;0,01266356;0,01565085;0,00700659;0,01637629;0,01331021;0,00547428;0,00736088;0,01633272;0,00670981;0,00595485;0,00988855;0,00614820;0,00722368;0,01059221;0,00628768;0,00656945
B1;99;27/12/2024  0:00;0,02216095;0,00859201;0,03102445;0,02852107;0,00873115;0,01305008;0,00877602;0,00897223;0,01278976;0,01578417;0,00695187;0,01601022;0,01359473;0,00546912;0,00744541;0,01670248;0,00677118;0,00669962;0,00982753;0,00619268;0,00730396;0,01073862;0,00631774;0,00663007
B1;99;27/12/2024  0:15;0,02181387;0,00849865;0,03142067;0,02808670;0,00861712;0,01298872;0,00864631;0,00886551;0,01255872;0,01552083;0,00688666;0,01603882;0,01337120;0,00541416;0,00721171;0,01641846;0,00667249;0,00668596;0,00982342;0,00611317;0,00712411;0,01060346;0,00624186;0,00637887
B1;99;27/12/2024  0:30;0,02150216;0,00844992;0,03161286;0,02762568;0,00856669;0,01306104;0,00856002;0,00880422;0,01246575;0,01531421;0,00687159;0,01611357;0,01330100;0,00539350;0,00682359;0,01634534;0,00665364;0,00594509;0,00960587;0,00610341;0,00688804;0,01048846;0,00621449;0,00605263
B1;99;27/12/2024  0:45;0,02167957;0,00847943;0,03145993;0,02784537;0,00860644;0,01305774;0,00864389;0,00884323;0,01268845;0,01547692;0,00688483;0,01605603;0,01310727;0,00529366;0,00727025;0,01611290;0,00654472;0,00601277;0,00952130;0,00599017;0,00726108;0,01036031;0,00610935;0,00653613
B1;99;27/12/2024  1:00;0,02151308;0,00841170;0,03276478;0,02767615;0,00851708;0,01339746;0,00854972;0,00876986;0,01259101;0,01526676;0,00684220;0,01660529;0,01302585;0,00536826;0,00745670;0,01601205;0,00657857;0,00599690;0,00984064;0,00602312;0,00734729;0,01039987;0,00617026;0,00666435
B1;99;27/12/2024  1:15;0,02209440;0,00862112;0,03204706;0,02840062;0,00874855;0,01329454;0,00879034;0,00898695;0,01266454;0,01576441;0,00697575;0,01634813;0,01358450;0,00547594;0,00682942;0,01671674;0,00675953;0,00603292;0,00978686;0,00620125;0,00697644;0,01070347;0,00631859;0,00618642
B1;99;27/12/2024  1:30;0,02210989;0,00861392;0,03090320;0,02847634;0,00875179;0,01297342;0,00879182;0,00898946;0,01272372;0,01580013;0,00696467;0,01585358;0,01351096;0,00543661;0,00686839;0,01660801;0,00672901;0,00582407;0,00980014;0,00616439;0,00691728;0,01067301;0,00627635;0,00615980
B1;99;27/12/2024  1:45;0,02169287;0,00854020;0,03127161;0,02789833;0,00865449;0,01307456;0,00863040;0,00891011;0,01254407;0,01550493;0,00693663;0,01600949;0,01342861;0,00546155;0,00743407;0,01652015;0,00672535;0,00659546;0,00948743;0,00617007;0,00722676;0,01052087;0,00628181;0,00653457
B1;99;27/12/2024  2:15;0,02177866;0,00851677;0,03263850;0,02805398;0,00863153;0,01331877;0,00861775;0,00889354;0,01262613;0,01550955;0,00693022;0,01647635;0,01348056;0,00542885;0,00738509;0,01656767;0,00670567;0,00608482;0,00985020;0,00613410;0,00732229;0,01067433;0,00626109;0,00664209
B1;99;27/12/2024  2:30;0,02205017;0,00859556;0,03197748;0,02838289;0,00871613;0,01329039;0,00870385;0,00897077;0,01284936;0,01571764;0,00696531;0,01629563;0,01372794;0,00548146;0,00640737;0,01685504;0,00680966;0,00582374;0,00978398;0,00623738;0,00668605;0,01080351;0,00634765;0,00578870
B1;99;27/12/2024  2:45;0,02157769;0,00848334;0,03142189;0,02767352;0,00860676;0,01302523;0,00862779;0,00884843;0,01251328;0,01541321;0,00690610;0,01612873;0,01290073;0,00525821;0,00726615;0,01586902;0,00646722;0,00601296;0,00935372;0,00593736;0,00722521;0,01017688;0,00605189;0,00657189
B1;99;27/12/2024  3:00;0,02194663;0,00865875;0,03220152;0,02814349;0,00877065;0,01326334;0,00881410;0,00901387;0,01278023;0,01573000;0,00702250;0,01642774;0,01361515;0,00547396;0,00732826;0,01677002;0,00676837;0,00619409;0,00949015;0,00621812;0,00729293;0,01061544;0,00631927;0,00665370
B1;99;27/12/2024  3:15;0,02212840;0,00864461;0,03143314;0,02847430;0,00877228;0,01306335;0,00880849;0,00901653;0,01267628;0,01581056;0,00700204;0,01610455;0,01366808;0,00550345;0,00738584;0,01681707;0,00680188;0,00603356;0,00978234;0,00623507;0,00725964;0,01075088;0,00635186;0,00663887
B1;99;27/12/2024  3:30;0,02140060;0,00836299;0,03205507;0,02753225;0,00846386;0,01326178;0,00850831;0,00872313;0,01262672;0,01520839;0,00680495;0,01630953;0,01358769;0,00551217;0,00605981;0,01672818;0,00679390;0,00648126;0,00977129;0,00622693;0,00636202;0,01069408;0,00635289;0,00539240
B1;99;27/12/2024  3:45;0,02216893;0,00865762;0,03202570;0,02849727;0,00879763;0,01316809;0,00883586;0,00903109;0,01283877;0,01584637;0,00701346;0,01631587;0,01380433;0,00549318;0,00728112;0,01700390;0,00683110;0,00668414;0,00976937;0,00624359;0,00717192;0,01082486;0,00635941;0,00652641
B1;99;27/12/2024  4:00;0,02222302;0,00875258;0,03220384;0,02863241;0,00888075;0,01324116;0,00881197;0,00914075;0,01268986;0,01589451;0,00711946;0,01642804;0,01343337;0,00547327;0,00722532;0,01651132;0,00674613;0,00601291;0,00974088;0,00617469;0,00719342;0,01060864;0,00629920;0,00652629
B1;99;27/12/2024  4:15;0,02252896;0,00884341;0,03209487;0,02893262;0,00898057;0,01319353;0,00897593;0,00921812;0,01273182;0,01615947;0,00715533;0,01635393;0,01391577;0,00549709;0,00736109;0,01713112;0,00684814;0,00615211;0,00967150;0,00627098;0,00732414;0,01085148;0,00636836;0,00665152
B1;99;27/12/2024  4:30;0,02166146;0,00851246;0,03273430;0,02781294;0,00862282;0,01341941;0,00864276;0,00888013;0,01255842;0,01548888;0,00693396;0,01654865;0,01316694;0,00535164;0,00467654;0,01619511;0,00658271;0,00552484;0,00944013;0,00604528;0,00564272;0,01035764;0,00615872;0,00431446
B1;99;27/12/2024  4:45;0,02242514;0,00877437;0,03140635;0,02885081;0,00890704;0,01313669;0,00887365;0,00915581;0,01276327;0,01603697;0,00710245;0,01608943;0,01378511;0,00551286;0,00720498;0,01693994;0,00684572;0,00605247;0,00973799;0,00626532;0,00719671;0,01080999;0,00637500;0,00649733
B1;99;27/12/2024  5:00;0,02164525;0,00846040;0,03161543;0,02776580;0,00857760;0,01303325;0,00860225;0,00882471;0,01275430;0,01545193;0,00686131;0,01611714;0,01336227;0,00537942;0,00736409;0,01642772;0,00665334;0,00612538;0,00943155;0,00609983;0,00732961;0,01047855;0,00620621;0,00662588
B1;99;27/12/2024  5:15;0,02235277;0,00869415;0,03041601;0,02879072;0,00884291;0,01294705;0,00887621;0,00907260;0,01274038;0,01593675;0,00703360;0,01574266;0,01298996;0,00538261;0,00775202;0,01593493;0,00657253;0,00682719;0,00988858;0,00602750;0,00749000;0,01040036;0,00617812;0,00679471
B1;99;27/12/2024  5:30;0,02146460;0,00841268;0,03169995;0,02754534;0,00852404;0,01324982;0,00858156;0,00875902;0,01260999;0,01529880;0,00683371;0,01620444;0,01350717;0,00542495;0,00626559;0,01664578;0,00671272;0,00641614;0,00958487;0,00615001;0,00652433;0,01059170;0,00625815;0,00563648
B1;99;27/12/2024  5:45;0,02203391;0,00862554;0,03250949;0,02830691;0,00875456;0,01332044;0,00877088;0,00899857;0,01264042;0,01575595;0,00700307;0,01646575;0,01322471;0,00538657;0,00725206;0,01626155;0,00661943;0,00604654;0,00955823;0,00607801;0,00722176;0,01044074;0,00620003;0,00649811
B1;99;27/12/2024  6:00;0,02254941;0,00886383;0,03226670;0,02903029;0,00899672;0,01319948;0,00893333;0,00925579;0,01268813;0,01615718;0,00719168;0,01637227;0,01365999;0,00550576;0,00731051;0,01677829;0,00680773;0,00596970;0,00971676;0,00623716;0,00725102;0,01073062;0,00635494;0,00654977
B1;99;27/12/2024  6:15;0,02222993;0,00874068;0,03179041;0,02855460;0,00887043;0,01313302;0,00887084;0,00913177;0,01257791;0,01595607;0,00709001;0,01620462;0,01360062;0,00541148;0,00738893;0,01672306;0,00672488;0,00603285;0,00945279;0,00616247;0,00733941;0,01062023;0,00626330;0,00665723
B1;99;27/12/2024  6:30;0,02247342;0,00881003;0,03182644;0,02892708;0,00895033;0,01320062;0,00893598;0,00919627;0,01271470;0,01609299;0,00714858;0,01619967;0,01342642;0,00550347;0,00742741;0,01650012;0,00675378;0,00596916;0,00975331;0,00619688;0,00728929;0,01060882;0,00631759;0,00661237
B1;99;27/12/2024  6:45;0,02153688;0,00850035;0,03250831;0,02759579;0,00860806;0,01329666;0,00866710;0,00885572;0,01262504;0,01540502;0,00692567;0,01645096;0,01300563;0,00532504;0,00632185;0,01602043;0,00652301;0,00595826;0,00938024;0,00598689;0,00664733;0,01022703;0,00610621;0,00571698
B1;99;27/12/2024  7:00;0,02207806;0,00861618;0,03156839;0,02841430;0,00874303;0,01306154;0,00878695;0,00899453;0,01283586;0,01573858;0,00699120;0,01611733;0,01332399;0,00542660;0,00735156;0,01637737;0,00667246;0,00667306;0,00983573;0,00610851;0,00717112;0,01056506;0,00624730;0,00642211
B1;99;27/12/2024  7:15;0,02198466;0,00859939;0,03327072;0,02825091;0,00872878;0,01356080;0,00875232;0,00897768;0,01270553;0,01569476;0,00699305;0,01675421;0,01339496;0,00544316;0,00742060;0,01648880;0,00671271;0,00644216;0,00971182;0,00615442;0,00732585;0,01056964;0,00626833;0,00658149
B1;99;27/12/2024  7:30;0,02207303;0,00863215;0,03087314;0,02832798;0,00876718;0,01290398;0,00881492;0,00900363;0,01259470;0,01578957;0,00698198;0,01585928;0,01350318;0,00542127;0,00729043;0,01663871;0,00670853;0,00600251;0,00960753;0,00615609;0,00727077;0,01058796;0,00625978;0,00653692
B1;99;27/12/2024  7:45;0,02175723;0,00846524;0,03219364;0,02801049;0,00858839;0,01325773;0,00863141;0,00884351;0,01259591;0,01547934;0,00687990;0,01634812;0,01311797;0,00535948;0,00499754;0,01611612;0,00659039;0,00571113;0,00979044;0,00603306;0,00586788;0,01044330;0,00616582;0,00461783
B1;99;27/12/2024  8:00;0,02215501;0,00864521;0,03191861;0,02853116;0,00877031;0,01313569;0,00875250;0,00903281;0,01248928;0,01581724;0,00701240;0,01620240;0,01377229;0,00551604;0,00714144;0,01691842;0,00684206;0,00594015;0,00976162;0,00626227;0,00718318;0,01081533;0,00637691;0,00641633
B1;99;27/12/2024  8:15;0,02227528;0,00871028;0,03179888;0,02864447;0,00884235;0,01314845;0,00886163;0,00908142;0,01276180;0,01592137;0,00706029;0,01616118;0,01328795;0,00541320;0,00731518;0,01633096;0,00665612;0,00597578;0,00976402;0,00609352;0,00727524;0,01052516;0,00623042;0,00655838
B1;99;27/12/2024  8:30;0,02233174;0,00875913;0,03264924;0,02869614;0,00888745;0,01340236;0,00887961;0,00913757;0,01273945;0,01600634;0,00710467;0,01653832;0,01373004;0,00550079;0,00734036;0,01688163;0,00682716;0,00619187;0,00955919;0,00625626;0,00724228;0,01071501;0,00636462;0,00651754
B1;99;27/12/2024  8:45;0,02215598;0,00871868;0,03222710;0,02848218;0,00885179;0,01326824;0,00888068;0,00909313;0,01257583;0,01584639;0,00708220;0,01637605;0,01352917;0,00549606;0,00570212;0,01666335;0,00676557;0,00655040;0,00980017;0,00620334;0,00616769;0,01066788;0,00632705;0,00511469
B1;99;27/12/2024  9:00;0,02264762;0,00894048;0,03241435;0,02906402;0,00907928;0,01336764;0,00910693;0,00933871;0,01262114;0,01633989;0,00725853;0,01640949;0,01395434;0,00549375;0,00732060;0,01719968;0,00685063;0,00646664;0,00942185;0,00628892;0,00725007;0,01080133;0,00636800;0,00647764
B1;99;27/12/2024  9:15;0,02163961;0,00850423;0,03082446;0,02778707;0,00862553;0,01295473;0,00864573;0,00886805;0,01255367;0,01546502;0,00691044;0,01580340;0,01335710;0,00542939;0,00727802;0,01644699;0,00667775;0,00604056;0,00949471;0,00613152;0,00728633;0,01047543;0,00623778;0,00647302
B1;99;27/12/2024  9:45;0,02209981;0,00867533;0,03243689;0,02832033;0,00878427;0,01332913;0,00882647;0,00904091;0,01257046;0,01584693;0,00703546;0,01639059;0,01368205;0,00541709;0,00668140;0,01685799;0,00674447;0,00586821;0,00940799;0,00618526;0,00686063;0,01064255;0,00627738;0,00598918
B1;99;27/12/2024  10:00;0,02225963;0,00875052;0,03138772;0,02859370;0,00888457;0,01308938;0,00886737;0,00913078;0,01260001;0,01596824;0,00709517;0,01599981;0,01339395;0,00540543;0,00707755;0,01647398;0,00668312;0,00599850;0,00945603;0,00613396;0,00713202;0,01050205;0,00622981;0,00637296
B1;99;27/12/2024  10:15;0,02192878;0,00858140;0,03157330;0,02818267;0,00870657;0,01309494;0,00876034;0,00895579;0,01266171;0,01563731;0,00697416;0,01608755;0,01356429;0,00547924;0,00744501;0,01669034;0,00675747;0,00633407;0,00979497;0,00619570;0,00728846;0,01068010;0,00631440;0,00660087
B1;99;27/12/2024  10:30;0,02178322;0,00849422;0,03191809;0,02798660;0,00861950;0,01318022;0,00870834;0,00886481;0,01271603;0,01554030;0,00689695;0,01620394;0,01344782;0,00541527;0,00755243;0,01657202;0,00668357;0,00691984;0,00969863;0,00611624;0,00734036;0,01058946;0,00624357;0,00667453
B1;99;27/12/2024  10:45;0,02209774;0,00869239;0,03275242;0,02840165;0,00880493;0,01337215;0,00885103;0,00906414;0,01272920;0,01582807;0,00706685;0,01651228;0,01360727;0,00546057;0,00619179;0,01676524;0,00675826;0,00610388;0,00969813;0,00619499;0,00645282;0,01067766;0,00630937;0,00551037
B1;99;27/12/2024  11:00;0,02180807;0,00857507;0,03176879;0,02796669;0,00870958;0,01320476;0,00871665;0,00894840;0,01254427;0,01560258;0,00697131;0,01616045;0,01345058;0,00536375;0,00725688;0,01655321;0,00665797;0,00591584;0,00946676;0,00609706;0,00717962;0,01052190;0,00619804;0,00647991
B1;99;27/12/2024  11:15;0,02169389;0,00854880;0,03290055;0,02782771;0,00866707;0,01342289;0,00870353;0,00891043;0,01245258;0,01554735;0,00695202;0,01651130;0,01334517;0,00537717;0,00732648;0,01644826;0,00663672;0,00608512;0,00939321;0,00609364;0,00728228;0,01043013;0,00619108;0,00658321
B1;99;27/12/2024  11:30;0,02275697;0,00890121;0,03114892;0,02927807;0,00904994;0,01296421;0,00904603;0,00929170;0,01276312;0,01631955;0,00720228;0,01591386;0,01385730;0,00553362;0,00720486;0,01704935;0,00685810;0,00595857;0,00975951;0,00627299;0,00718306;0,01084913;0,00638748;0,00649543
B1;99;27/12/2024  11:45;0,02233761;0,00876365;0,03112741;0,02868418;0,00890121;0,01296640;0,00893166;0,00914719;0,01267868;0,01602433;0,00709575;0,01591159;0,01339433;0,00539045;0,00473622;0,01646691;0,00664268;0,00559977;0,00951062;0,00610730;0,00568696;0,01051428;0,00621487;0,00441188
B1;99;27/12/2024  12:00;0,02194493;0,00868044;0,03221733;0,02813612;0,00879206;0,01325880;0,00882219;0,00903619;0,01257402;0,01572605;0,00704582;0,01636778;0,01317753;0,00534049;0,00741025;0,01624010;0,00656805;0,00659329;0,00944134;0,00602673;0,00729190;0,01034202;0,00613828;0,00661641
B1;99;27/12/2024  12:15;0,02101094;0,00828736;0,03227918;0,02690384;0,00839105;0,01329338;0,00841307;0,00862464;0,01240289;0,01496233;0,00675484;0,01634760;0,01277302;0,00520467;0,00756536;0,01572284;0,00640230;0,00669880;0,00934155;0,00586993;0,00735683;0,01009108;0,00598065;0,00670029
B1;99;27/12/2024  12:30;0,02165395;0,00849352;0,03344291;0,02783845;0,00860098;0,01357455;0,00863654;0,00886217;0,01251221;0,01543058;0,00691958;0,01681358;0,01308785;0,00534847;0,00749301;0,01608571;0,00657066;0,00624015;0,00972107;0,00602780;0,00732552;0,01039600;0,00614513;0,00666037
B1;99;27/12/2024  12:45;0,02284311;0,00894588;0,03287465;0,02940859;0,00906850;0,01341403;0,00906629;0,00933515;0,01265061;0,01639780;0,00723994;0,01660610;0,01387520;0,00546071;0,00583635;0,01705314;0,00681946;0,00581248;0,00977844;0,00623948;0,00632348;0,01087116;0,00634601;0,00539550
B1;99;27/12/2024  13:00;0,02122061;0,00835311;0,03267993;0,02717499;0,00845453;0,01335002;0,00854830;0,00869158;0,01259349;0,01512368;0,00680845;0,01652928;0,01273841;0,00520731;0,00748154;0,01569411;0,00638968;0,00618613;0,00939621;0,00586148;0,00734788;0,01008120;0,00598173;0,00680552
B1;99;27/12/2024  13:15;0,02210456;0,00867942;0,03147824;0,02841858;0,00878736;0,01317619;0,00882543;0,00904784;0,01248475;0,01582274;0,00703459;0,01608492;0,01346775;0,00543421;0,00747626;0,01656785;0,00670395;0,00601767;0,00967240;0,00615820;0,00733048;0,01059737;0,00626277;0,00676450
B1;99;27/12/2024  13:30;0,02248554;0,00885782;0,03164772;0,02886397;0,00899417;0,01307265;0,00904035;0,00923399;0,01268666;0,01615674;0,00716461;0,01615394;0,01406450;0,00552253;0,00513571;0,01735441;0,00688873;0,00583337;0,00963881;0,00631118;0,00592922;0,01092058;0,00640316;0,00490821
B1;99;27/12/2024  13:45;0,02221555;0,00873286;0,03170869;0,02852295;0,00885764;0,01309297;0,00887611;0,00910957;0,01249522;0,01592246;0,00708429;0,01614706;0,01334919;0,00538303;0,00756411;0,01640924;0,00664635;0,00672720;0,00950365;0,00610237;0,00731508;0,01047739;0,00620068;0,00676693
B1;99;27/12/2024  14:00;0,02212198;0,00864051;0,03285627;0,02851748;0,00875660;0,01347414;0,00877483;0,00901528;0,01265399;0,01576332;0,00702000;0,01660652;0,01348030;0,00552418;0,00772857;0,01655474;0,00677687;0,00670654;0,00997221;0,00620626;0,00741149;0,01070634;0,00634740;0,00692179
B1;99;27/12/2024  14:15;0,02173473;0,00852035;0,03194167;0,02794744;0,00863349;0,01312450;0,00865117;0,00888598;0,01257779;0,01548540;0,00693494;0,01621136;0,01330791;0,00541477;0,00638010;0,01635740;0,00666631;0,00582647;0,00970600;0,00611894;0,00654776;0,01051879;0,00623891;0,00579976
B1;99;27/12/2024  14:30;0,02189684;0,00858013;0,03094997;0,02820151;0,00871361;0,01281804;0,00874532;0,00895065;0,01249956;0,01558992;0,00696831;0,01581700;0,01360929;0,00549608;0,00703244;0,01676538;0,00679763;0,00600336;0,01006898;0,00621173;0,00701509;0,01078402;0,00634462;0,00646224
B1;99;27/12/2024  14:45;0,02200562;0,00864007;0,03180680;0,02827961;0,00876237;0,01319169;0,00879957;0,00900053;0,01259850;0,01572877;0,00700899;0,01621336;0,01356094;0,00543878;0,00759173;0,01670245;0,00673022;0,00606615;0,00975780;0,00616653;0,00738596;0,01067216;0,00628165;0,00688399
B1;99;27/12/2024  15:00;0,02216199;0,00864559;0,03236960;0,02849353;0,00877593;0,01323083;0,00883266;0,00901900;0,01268302;0,01582148;0,00701047;0,01641222;0,01377046;0,00544891;0,00628718;0,01695958;0,00677678;0,00589786;0,00989686;0,00620497;0,00658474;0,01083192;0,00631509;0,00584639
B1;99;27/12/2024  15:15;0,02140157;0,00840007;0,03129303;0,02746364;0,00851034;0,01295489;0,00853717;0,00874781;0,01239759;0,01527580;0,00681610;0,01591773;0,01334449;0,00540056;0,00710040;0,01642071;0,00665762;0,00612497;0,00942314;0,00611158;0,00709879;0,01045114;0,00620966;0,00651664
C1;100;27/12/2024  15:45;0,02520753;0,01007660;0,03054994;0,03205989;0,01029173;0,01179111;0,01009992;0,01052623;0,01039153;0,01845731;0,00807270;0,01631815;0,01405379;0,00536126;0,00512022;0,01735228;0,00689362;0,00501483;0,00785682;0,00633767;0,00602748;0,01036508;0,00633170;0,00389262
C1;100;27/12/2024  16:00;0,02585336;0,01035201;0,03097676;0,03293141;0,01057380;0,01220959;0,01041038;0,01081706;0,01053298;0,01897348;0,00829367;0,01637404;0,01436889;0,00547845;0,00795727;0,01773375;0,00705711;0,00482399;0,00799277;0,00648128;0,00817984;0,01058585;0,00646909;0,00641515
C1;100;27/12/2024  16:15;0,02630676;0,01051870;0,03057285;0,03353820;0,01073821;0,01175295;0,01049672;0,01098885;0,01031573;0,01930788;0,00841665;0,01627369;0,01444398;0,00547618;0,00725339;0,01779678;0,00707428;0,00487966;0,00803851;0,00649942;0,00718125;0,01065287;0,00649063;0,00604091
C1;100;27/12/2024  16:30;0,02500367;0,01005311;0,03005111;0,03175451;0,01026071;0,01157817;0,01003801;0,01048606;0,01012579;0,01833783;0,00805653;0,01605459;0,01422778;0,00541007;0,00645092;0,01758530;0,00696537;0,00464409;0,00776065;0,00640787;0,00665960;0,01044056;0,00638801;0,00524436
C1;100;27/12/2024  16:45;0,02610167;0,01046204;0,02982213;0,03321292;0,01068897;0,01152981;0,01043037;0,01093752;0,01017695;0,01915718;0,00837181;0,01602428;0,01434473;0,00541630;0,00766981;0,01769995;0,00700728;0,00487561;0,00783056;0,00643410;0,00744876;0,01053457;0,00641488;0,00641961
C1;100;27/12/2024  17:00;0,02536133;0,01014545;0,03038297;0,03224662;0,01036201;0,01168837;0,01013947;0,01061735;0,01017393;0,01856633;0,00813241;0,01624481;0,01411965;0,00536949;0,00464689;0,01741618;0,00691176;0,00437359;0,00784491;0,00636263;0,00556833;0,01040681;0,00635287;0,00355499
C1;100;27/12/2024  17:15;0,02601069;0,01039817;0,03030241;0,03316266;0,01061576;0,01166903;0,01035842;0,01087181;0,01010703;0,01904682;0,00832685;0,01617748;0,01455178;0,00554677;0,00786396;0,01793005;0,00714741;0,00558091;0,00819269;0,00656432;0,00749329;0,01076332;0,00655553;0,00657120
C1;100;27/12/2024  17:30;0,02520133;0,01002730;0,03041735;0,03208123;0,01023659;0,01171724;0,01000587;0,01049116;0,01016327;0,01839916;0,00803109;0,01622489;0,01440238;0,00545753;0,00535310;0,01772584;0,00704072;0,00488189;0,00801686;0,00646788;0,00585907;0,01064149;0,00646472;0,00422647
C1;100;27/12/2024  17:45;0,02548783;0,01018978;0,03035756;0,03241605;0,01040191;0,01166807;0,01016360;0,01065389;0,01016662;0,01865474;0,00816449;0,01619868;0,01444671;0,00545809;0,00783911;0,01782295;0,00705973;0,00498868;0,00792735;0,00648157;0,00755006;0,01062578;0,00646583;0,00661168
